CARTE;NOM;SEXE;ADRESSE_NUM;ADRESSE_RUE;ADRESSE_CODE;ADRESSE_VILLE;ADRESSE_LAT;ADRESSE_LON;TELEPHONE;MAIL;NAISSANCE;METIER
9000001;Noor Ashwaq;F;13;Lotissement le Domaine des Cedres;83310;Cogolin;43.249789;6.523057;06 90 20 91 00;Noor34@gmail.fr;1968;Traiteur
9000004;Frederique Pouchard;F;15;Hameau Golf Parc Oasis;83580;Gassin;43.255447;6.570365;06 37 77 62 86;FredPPP@me.com;1997;Enseignante
9000009;Dayna J. Henderson;F;11;Place des Artisans;83310;Grimaud;43.274649;6.579281;04 80 34 28 40;Dayna_thebest@icloud.com;1983;Receptionniste
9000010;Mathilde Bourgouin;F;11;Hameau des Anges;83310;Cogolin;43.25319;6.52193;06 91 23 61 15;CoucouCMathilde@gmail.com;1990;Boulangere
9000011;Xavier Frappier;M;6;Allee des Sources;83350;Ramatuelle;43.218679;6.609879;04 55 22 99 43;xav83350@orange.fr;1993;Technicien telecom
9000015;Loretta Sevilla Tamayo;F;1945;Ancienne Route la Garde Freinet;83680;La Garde-Freinet;43.29254;6.48818;06 15 00 53 23;lololorette@gmail.com;1955;Commercante
9000016;Victoire Mazuret;F;20;Brusquet;83310;Grimaud;43.270677;6.529293;04 67 02 67 27;vivimama83@gmail.com;1988;Postiere
9000020;Monique Simon;F;6;Rue de l'Ile Ronde;83310;Grimaud;43.270303;6.576849;04 68 26 58 96;monique.simon@zoho.com;1937;Retraitee
9000023;Benjamin Deschamps;M;83;Residence les Lisieres de St Tropez;83580;Gassin;43.261672;6.618628;06 33 06 21 08;benjy.deschamps@zoho.com;1995;Animateur Jeunesse
9000032;Dunya Rawhah;F;87;Le Ponant;83310;Grimaud;43.272626;6.578643;04 65 60 72 89;dunya_rawraw@orange.fr;1980;Comptable
9000037;Eric Bourdette;M;3;Hameau les Crottes;83310;Grimaud;43.280866;6.545353;04 78 72 11 02;riri83310@orange.fr;1990;Menuisier
9000042;Franziska Hirsch;F;19;Lotissement la Bergerie;83310;Grimaud;43.270471;6.529677;04 94 09 47 03;franziskahirsch14@orange.fr;1966;Clerc de notaire
9000045;Fabienne Richard;F;13;Rue Four;83990;Saint-Tropez;43.273465;6.640382;04 49 65 08 77;fabiedesainttropez@bbox.com;1995;Infirmiere
9000047;Asia Chmielewska;F;750;Le Perat;83310;Grimaud;43.262177;6.547569;04 97 10 14 82;asiaasia@zoho.com;1993;Gendarme
9000048;Oceane Charest;F;12;Avenue Jean de Florette;83240;Cavalaire-sur-Mer;43.186407;6.526119;04 15 56 36 71;oceane2mouette@me.com;1978;Pepinieriste
9000054;Fantino Mazzi;M;47;Residence les Hauts de Grimaud;83310;Grimaud;43.294449;6.581836;04 94 01 33 10;mazzi3000@aol.com;1955;Viticulteur
9000056;Patrick Bienvenue;M;4;Route Nationale;83680;La Garde-Freinet;43.317221;6.471797;06 13 18 51 10;bienvenue.patrick.83680@yahoo.fr;1991;Medecin
9000061;Auguste Loiseau;M;3;L'Ile de la Tortue;83420;La Croix-Valmer;43.190577;6.600298;04 20 38 94 09;lezozio@orange.fr;1948;Retraite
9000064;Bernard Garreau;M;1071;Route de Tahiti;83350;Ramatuelle;43.245752;6.663694;04 55 14 43 39;bernard-elec@yahoo.fr;1982;Electricien
9000074;Nadhir Kardal;M;22;Rue des Romarins;83120;Le Plan-de-la-Tour;43.350367;6.546222;06 71 11 70 82;nadduplan@bbox.com;1988;Vendeur
9000085;Oliver Bourque;M;1346;Route du Luc;83680;La Garde-Freinet;43.325561;6.474284;06 04 18 12 01;oliv-blender-guru@gmail.fr;1990;Infographiste
9000087;Michael B. Potts;M;49;Chemin de Saint Antoine;83990;Saint-Tropez;43.261751;6.632215;04 45 51 62 73;mister-potts@gmail.com;1989;Ingenieur
9000088;Filomana Trejo;F;35;Corniche des Iles d'Or;83980;Le Lavandou;43.151036;6.410201;04 62 42 30 16;filotrejo@hotmail.com;1978;Ingenieure
9000089;Florian Martin;M;1;Impasse des Lorettes;83990;Saint-Tropez;43.26741;6.642333;04 52 96 29 08;martin568915@orange.fr;1971;Peintre en batiment
9000100;Alice Vertefeuille;F;1000;Chemin des Crottes et de St Marc;83310;Cogolin;43.243483;6.49637;04 09 05 24 67;alicedecogo@bbox.com;1992;Coiffeuse
9000109;Gabrielle Laramee;F;11;Rue Amphitrite;83310;Grimaud;43.274415;6.576978;04 79 01 49 02;gaby576@gmail.fr;1998;Vendeuse
9000110;Dany Ponce;M;133;Chemin du Hameau de l'Hermitan;83310;Cogolin;43.254865;6.504864;04 07 69 36 71;monsieurponce@zoho.com;1942;Retraite
9000111;Robert Gerin-Lajoie;M;5;Rue des Moulins;83310;Cogolin;43.252468;6.53219;04 03 51 62 27;robsaittoutfaire@laposte.net;1957;Sans emploi
9000117;Elise Brazier;F;5000;Chemin des Iris Oasis;83580;Gassin;43.255994;6.573522;06 54 60 37 29;doudoubrazier@gmail.com;1960;Sans emploi
9000119;Cyril Deslys;M;14;Rue des Freres Lumiere;83310;Cogolin;43.2573;6.526945;04 02 70 26 42;c.deslys@gmail.com;1941;Retraite
9000121;Ange Pelissier;M;18;Rue des 3 Rives;83310;Grimaud;43.269962;6.579324;04 97 15 47 58;3rivieresgrimaud@orange.fr;1941;Retraite
9000123;Alice Dufour;F;14;Hameau du Levant;83420;La Croix-Valmer;43.208544;6.559787;04 27 21 48 30;alicederrierelemirroir@orange.fr;1994;Etudiante
9000124;Edith Lagueux;F;1;Rue Diderot;83310;Cogolin;43.250598;6.5319;07 97 18 57 20;edith-l-123456789@icloud.com;1968;Sans emploi
9000126;Anna Carvalho Fernandes;F;11;Les Mas du Moulin;83310;Cogolin;43.252423;6.518821;06 92 89 53 99;superanna83@gmail.com;1991;Serveuse
9000129;Marie Beaulieu;F;16;Impasse des Rouves;83310;Cogolin;43.248917;6.52448;04 07 59 22 10;marie.et.robert.beaulieu@hotmail.com;1983;Commerciale
9000132;Nadia J. Knudsen;F;366;Chemin des Crottes;83310;Grimaud;43.280844;6.545006;04 97 44 48 20;knudsen_family_at_grimaud@gmail.fr;1932;Retraitee
9000135;Lucinda Ramirez;F;417;Impasse des Merlettes;83520;Roquebrune-sur-Argens;43.477859;6.632391;06 63 12 65 79;lulu-est-la@orange.fr;1984;Surveillante
9000136;Laurence Despins;F;64;Hameau Provence Parc Oasis;83580;Gassin;43.254849;6.571209;06 43 19 40 34;zozo1989@zoho.com;1989;Cuisiniere
9000139;Kimberly J. Moore;F;20;Rue Saint Exupery;83310;Cogolin;43.252245;6.532414;06 86 85 88 96;Kim-kinesitherapie-cogolin@orange.fr;1991;Kinesitherapeute
9000140;Estienne Devereaux;M;15;Lot le Parc Saint Antoine;83310;Grimaud;43.280572;6.560848;04 90 38 26 62;Estienne.d83@laposte.net;1936;Retraite
9000141;Georges Preux;M;443;Chemin du Cap;83350;Ramatuelle;43.24883;6.6711;04 60 75 83 29;plomberie_preux@icloud.com;1994;Plombier
9000144;Lucille Racine;F;21;Les Bastidons de Pampelonne;83350;Ramatuelle;43.221518;6.65342;04 58 45 18 96;heylesfillesdu83@yahoo.fr;1992;Sans emploi
9000151;Hu Chiang;M;27;Chemin du Canadel;83310;Cogolin;43.241311;6.528024;04 11 11 16 08;hu-chiang-1526345@zoho.com;1983;Commercant
9000152;Nasser Abdul-Adl;M;136;Chemin des 4 Vents;83350;Ramatuelle;43.210091;6.633579;04 58 41 97 82;nasser.de.rama@yahoo.fr;1986;Pediatre
9000160;Diane Barrette;F;15;Impasse des Roseaux;83230;Bormes-les-Mimosas;43.119602;6.349548;06 15 92 41 45;barette-des-roseaux@sfr.fr;1995;Etudiante
9000164;Eleonore Archambault;F;323;Avenue de la Calanque;83240;Cavalaire-sur-Mer;43.16935;6.537836;04 16 95 26 94;eleonorepetitchat@gmail.fr;1996;Etudiante
